GeneSymbol	Class
AKT2	Amplification
ALK	Amplification
CCNE1	Amplification
DROSHA	Amplification
EGFR	Amplification
ERBB2	Amplification
ERG	Amplification
FLT4	Amplification
JUN	Amplification
KAT6A	Amplification
LMO1	Amplification
MDM2	Amplification
MDM4	Amplification
MITF	Amplification
MYC	Amplification
MYCL	Amplification
MYCN	Amplification
NKX2-1	Amplification
NTRK1	Amplification
PPM1D	Amplification
RAF1	Amplification
REL	Amplification
SOX2	Amplification
WHSC1L1	Amplification
AMER1	Deletion
APC	Deletion
APOBEC3B	Deletion
ARID1A	Deletion
ATM	Deletion
AXIN1	Deletion
BIRC3	Deletion
BRCA1	Deletion
BRCA2	Deletion
CDKN2A	Deletion
CDKN2C	Deletion
FANCA	Deletion
FANCC	Deletion
FANCD2	Deletion
FBXO11	Deletion
FBXW7	Deletion
GPC3	Deletion
IKZF1	Deletion
KDM6A	Deletion
LATS2	Deletion
LRP1B	Deletion
MAP2K4	Deletion
MEN1	Deletion
MLH1	Deletion
MSH2	Deletion
NF1	Deletion
NF2	Deletion
PAX5	Deletion
PBRM1	Deletion
PRDM1	Deletion
PTEN	Deletion
RB1	Deletion
SMAD4	Deletion
SMARCB1	Deletion
STK11	Deletion
SUFU	Deletion
TNFAIP3	Deletion
TSC1	Deletion
TSC2	Deletion
VHL	Deletion
WT1	Deletion
