chr start end
chr1  61735 249224388
chr2  12784 243089456
chr3  60345 197896118
chr4  12281 191027923
chr5  15532 180790320
chr6  149661  171051005
chr7  43259 159127004
chr8  31254 146298155
chr9  46587 141091394
chr10 72759 135506704
chr11 198572  134944770
chr12 150442  133778189
chr13 19026949  115108397
chr14 19002124  107285437
chr15 20016328  102469040
chr16 60777 90287535
chr17 526 81048659
chr18 48133 78015057
chr19 90910 59097854
chr20 61305 62956153
chr21 10736871  48096957
chr22 16052528  51234455
chr23 168477  155228572
